Version, Version Name, Name, LOCs, Churn, Age, Weighted Age, Number of Authors, Revisions, LOC Touched, LOC Added, Number of Fix, Buggy
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,41,41,0,0,2,2,41,41,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,101,101,0,0,3,5,101,101,1,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,129,129,0,0,2,3,129,129,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,53,53,0,0,2,2,53,53,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,140,140,0,0,2,2,140,140,0,true,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,64,64,0,0,2,2,64,64,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,32,32,0,0,1,1,32,32,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,33,33,0,0,2,2,33,33,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,34,34,0,0,2,2,34,34,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,82,82,0,0,2,4,82,82,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,77,77,0,0,2,3,77,77,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,64,64,0,0,2,4,64,64,0,false,
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,102,102,0,0,2,4,102,102,0,false,
